region_name,factors,t_test,factors_significant,F_test,shapiro,het_breuschpagan,durbin_watson,vif,add_const,coefs,mape
Республика Крым,"['area', 'rooms', 'levels', 'object_type', 'kitchen_area', 'date_encoded', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'rooms', 'levels', 'object_type', 'kitchen_area', 'date_encoded', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 104933.8411716  -700930.32167837   64447.98604708  -73454.24536361
   32441.72441816     712.69354435  -82497.31003444]",0.27289909063009526
Кировская область,"['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'level', 'rooms']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'level', 'rooms']",True,False,False,False,"[False, True, True, True, True, True, True, True]",False,"[ 48363.90017515  54877.02786643 -34610.44786103  36346.27965755
  35190.6653868   13201.64134871 -61244.40695493]",0.3089186753571887
Республика Калмыкия,"['area', 'rooms', 'date_encoded', 'levels', 'kitchen_area', 'level', 'object_type', 'building_type']","[True, True, True, True, True, True, True, True, True]","['area', 'rooms', 'date_encoded', 'levels', 'kitchen_area', 'level', 'object_type', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True, True]",False,"[  35862.94886853 -265494.36416027   16506.83960713   54103.07504284
   25275.07979083  -41713.77629868    9613.29734905  -48790.03092164]",0.21032479084866287
Республика Адыгея,"['area', 'date_encoded', 'levels', 'object_type', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'object_type', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[ 32137.63492493  17431.93777628  38701.89957317 -14627.3473965
   9363.21753026 -70366.59165732]",0.16094872624962112
Карачаево-Черкесская Республика,"['area', 'date_encoded', 'levels', 'building_type', 'level', 'kitchen_area', 'rooms']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'building_type', 'level', 'kitchen_area', 'rooms']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  45025.48113035   13920.12781283   31566.78774022   18692.50473579
  -31357.34432813  -20635.31386721 -134152.48764928]",0.23347649726911632
Республика Тыва,"['area', 'date_encoded', 'levels', 'building_type', 'object_type', 'kitchen_area', 'level']","[False, True, True, True, True, False, False, False]","['area', 'date_encoded', 'levels', 'building_type']",True,False,False,True,"[False, True, True, True, True]",False,[  41102.29490486   58668.6873484   113626.04483673 -157804.07643438],0.2913178221975359
Республика Ингушетия,"['area', 'date_encoded', 'building_type', 'object_type', 'level', 'levels', 'kitchen_area', 'rooms']","[False, True, True, True, True, True, True, True, False]","['area', 'date_encoded', 'building_type', 'object_type', 'level', 'levels', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  23251.71793095   21619.38017524 -126483.79968268  -31109.31290324
  -81286.41811174   80779.85925993   22719.9814149 ]",0.25895006275074434
Республика Алтай,"['area', 'levels', 'date_encoded', 'object_type', 'level']","[True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'object_type', 'level']",True,False,False,True,"[False, True, True, True, True, True]",False,"[ 25169.29991756 205276.75594992  22711.62766591 -39582.1578603
 -61703.39909044]",0.25223221997478507
Белгородская область,"['area', 'levels', 'date_encoded', 'kitchen_area', 'rooms']","[True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'rooms']",True,False,False,True,"[False, True, True, True, True, True]",False,"[  53481.3855544    46879.87571487    3650.41461698   15703.71256091
 -262412.65360169]",0.2082280565285699
Архангельская область,"['area', 'kitchen_area', 'date_encoded', 'levels', 'building_type', 'level', 'rooms']","[True, True, True, True, True, True, True, True]","['area', 'kitchen_area', 'date_encoded', 'levels', 'building_type', 'level', 'rooms']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  49704.67810324   79171.93746464    7676.18233597   24226.13023679
   -2752.55669568   20744.30250434 -108978.42134391]",0.254270007447437
Тверская область,"['area', 'date_encoded', 'building_type', 'kitchen_area', 'object_type', 'level']","[True, True, True, True, True, True, False]","['area', 'date_encoded', 'building_type', 'kitchen_area', 'object_type']",True,False,False,True,"[False, True, True, True, True, True]",False,"[41420.70727129 11862.28312421 36451.71054203 13641.75500287
 -9782.63101513]",0.13901797849119216
Пензенская область,"['area', 'date_encoded', 'levels', 'object_type', 'building_type', 'rooms', 'kitchen_area', 'level']","[True, True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'object_type', 'building_type', 'rooms', 'kitchen_area', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True, True]",False,"[  53131.16229077    5859.18422192   20615.81433239  -23598.02043568
  -82263.70179812 -142889.28132062   14588.74488657   10592.09790397]",0.20441918995885003
Ханты-Мансийский автономный округ,"['area', 'levels', 'kitchen_area', 'object_type', 'rooms', 'date_encoded', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'kitchen_area', 'object_type', 'rooms', 'date_encoded', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  67900.08634422   32434.46678272   45666.40551382  -42637.25507987
 -261105.04913032    3527.80660949  -80431.61554099]",0.18789820261301554
Липецкая область,"['area', 'levels', 'date_encoded', 'object_type', 'rooms']","[True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'object_type', 'rooms']",True,False,False,True,"[False, True, True, True, True, True]",False,"[  46221.46236276   34918.23015486    5907.46264556  -39862.59731201
 -163953.34309084]",0.19245223128796676
Владимирская область,"['area', 'levels', 'date_encoded', 'object_type', 'rooms', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'object_type', 'rooms', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  53559.88709304   45018.74463468    2829.39242391  -48900.19998053
 -415700.01212107   21820.07619741  -73854.32509122]",0.2540020858363541
Рязанская область,"['area', 'date_encoded', 'levels']","[True, True, True, True]","['area', 'date_encoded', 'levels']",True,False,False,True,"[False, True, True, True]",False,[46280.67347999  5921.59122195  6804.06348547],0.21173382594976795
Чеченская Республика,"['area', 'levels', 'date_encoded', 'rooms', 'object_type', 'level']","[True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'rooms', 'object_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[ 35755.00254655 135337.39726948  -9192.73543115  64840.22558004
 -28882.44933093 -24412.45367524]",0.28058551613391375
Смоленская область,"['area', 'rooms', 'levels', 'date_encoded', 'object_type', 'building_type', 'kitchen_area']","[True, True, True, True, True, True, True, True]","['area', 'rooms', 'levels', 'date_encoded', 'object_type', 'building_type', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  54375.06715443 -425003.93752369   19457.14125897    2618.78342477
  -19698.46870486  -15648.28153112    8165.8223811 ]",0.21379064579803403
